best, n16
0, 0
3.62544, 2.70852
6.30616, 3.60627
6.30616, 3.60925
6.30616, 3.63205
6.30616, 4.50443
6.30616, 4.50909
6.30616, 4.51191
6.30616, 4.51415
6.30971, 4.52626
6.30971, 4.52752
6.34022, 5.40213
6.34022, 5.40692
6.34022, 5.40713
6.34022, 5.40713
6.34022, 5.41786
6.34022, 5.41786
6.34022, 5.41786
6.34022, 5.43124
6.34022, 5.44903
6.34022, 5.4743
6.34022, 6.30161
6.34022, 6.30161
6.3415, 6.30305
6.3415, 6.30305
6.3415, 6.30616
6.3415, 6.30616
6.3415, 6.30891
6.3415, 6.30971
6.3415, 6.31702
2.72708, 0.00154351
7.30576, 2.78318
7.30576, 3.67255
7.30576, 3.73606
7.30576, 4.53351
7.30576, 4.56253
7.30576, 4.5637
8.17763, 4.57158
8.17763, 4.57978
8.17763, 4.61741
8.17763, 4.70685
8.17763, 5.42302
8.17763, 5.43554
8.17763, 5.43554
8.17763, 5.4637
8.17763, 5.46885
8.17763, 5.47898
8.17763, 5.47898
8.17763, 5.50106
8.17763, 5.50106
9.05826, 5.55175
9.05826, 5.55494
9.05826, 5.55494
9.05826, 6.36952
9.05826, 6.36952
9.05826, 6.36952
9.05826, 6.36952
9.05826, 6.36952
9.05826, 6.38057
9.05826, 6.38057
4.69136, 0
9.05826, 2.77002
9.05826, 3.65479
9.05826, 3.73927
9.05826, 4.54574
9.05826, 4.54909
9.05826, 4.56229
9.05826, 4.69136
9.05826, 5.43161
9.05826, 5.44477
9.05826, 5.44629
9.05826, 5.46601
9.05826, 5.47209
9.05826, 5.47399
9.05826, 5.47464
9.05826, 5.50106
9.05826, 5.50106
9.05826, 5.50106
9.05826, 5.50106
9.05826, 5.50106
9.05826, 5.50106
9.05826, 5.50106
9.05826, 5.50106
9.05826, 6.37339
9.05826, 6.37863
9.05826, 6.37863
9.05826, 6.37863
9.05826, 6.38166
9.05826, 6.38166
9.05826, 6.38166
4.61151, 0.000545389
12.7256, 3.60896
12.7256, 3.6637
12.7256, 3.70978
12.7256, 4.53827
12.7256, 4.54957
12.7256, 4.56388
12.7256, 4.56565
12.7256, 5.42305
12.7256, 5.42305
12.7256, 5.4273
12.7256, 5.4273
12.7256, 5.42867
12.7256, 5.44101
12.7256, 5.44101
12.7256, 5.44987
12.7256, 5.44987
12.7256, 5.45175
12.7256, 5.46583
12.7256, 5.46583
12.7256, 5.48126
12.7256, 5.48129
12.7256, 5.49722
12.7256, 5.49722
12.7256, 5.49722
12.7256, 5.51192
12.7256, 5.56377
12.7256, 5.56377
12.7256, 6.31605
12.7256, 6.31605
12.7256, 0
12.7256, 3.6466
12.7256, 3.74096
12.7256, 4.53798
12.7256, 4.58818
12.7256, 4.59995
12.7256, 4.69269
12.7256, 5.45513
12.7256, 5.45562
12.7256, 5.4632
12.7256, 5.46752
12.7256, 5.46752
12.7256, 5.47149
12.7256, 5.47149
12.7256, 5.47286
12.7256, 5.48143
12.7256, 5.55264
12.7256, 5.55264
12.7256, 5.66082
12.7256, 5.66082
12.7256, 5.66082
12.7256, 5.70659
12.7256, 6.36546
12.7256, 6.36546
12.7256, 6.37122
12.7256, 6.37122
12.7256, 6.37122
12.7256, 6.37498
12.7256, 6.39191
12.7256, 6.41708
12.7256, 0.198734
12.7256, 2.83406
12.7256, 3.67876
12.7256, 3.71471
12.7256, 4.52719
12.7256, 4.61826
12.7256, 4.68849
12.7256, 4.68849
12.7256, 5.48826
12.7256, 5.49138
12.7256, 5.49472
12.7256, 5.49472
12.7256, 5.49472
